13D_PARTTIME,What sources of income do you have?,Part-time/casual or seasonal employment,Count,
13D_INFORMAL,What sources of income do you have?,Informal employment,Count,
13D_FRIENDSFAMILY,What sources of income do you have?,Financial support from friends or family,Count,
13D_PENSION,What sources of income do you have?,Pension or investment income,Count,
13D_PANHANDLING,What sources of income do you have?,Panhandling,Count,
13D_OW,What sources of income do you have?,"Ontario Works (Welfare, Basic Needs Allowance, Street Allowance)",Count,
13D_EI,What sources of income do you have?,Employment Insurance,Count,
13D_CPP,What sources of income do you have?,Canada Pension Plan,Count,
13D_GIS,What sources of income do you have?,Guaranteed Income Supplement,Count,
13D_OAS,What sources of income do you have?,Old Age Security,Count,
13D_CCTB,What sources of income do you have?,Canada Child Tax Benefit,Count,"This income category was not included in the survey and was calculated based on self-declared responses under ""Other"""
13D_OSAP,What sources of income do you have?,Ontario Student Assistance Program,Count,"This income category was not included in the survey and was calculated based on self-declared responses under ""Other"""
13D_OTHER,What sources of income do you have?,Other,Count,"The counts for this income category exclude self-declared responses of ""Canada Child Tax Benefit"" and ""Ontario Student Assistance Program"" "
13D_NOINCOME,What sources of income do you have?,No income,Count,
13D_NA,What sources of income do you have?,Refused/No answer,Count,
13D_RESPONSETOTAL,What sources of income do you have?,Total Respondents,Count,
